Zrzut pomiarów z pliku PocketTopo .top
========================================
Plik: Czarna-zimna.top
Data tripu: 2011-10-02 00:00:00
Liczba tripów: 1
Liczba strzałów: 756
Liczba referencji: 0
Deklinacja: 0.00°
Komentarz tripu: (brak)

Komentarze do strzałów:
- #83: 1.22 -> (bez stacji docelowej) | syfon
- #143: 1.38 -> (bez stacji docelowej) | do brzegu jeziorka
- #144: 1.38 -> 1.39 | brzeg kamienia
- #195: 1.55 -> 1.56 | do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
- #233: 1.67 -> 1.68 | do czubka stalagmita
- #319: 1.91 -> 1.92 | do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
- #754: 1.220 -> 1.221 | otwor Zimnej, strop nad otworem, okolo polowy szerokosci

Pełna lista strzałów:
lp	from	to	dist[m]	az[°]	inc[°]	roll[°]	flip	trip	komentarz
387	1.11200	1.113	3.160	157.46	-12.44	75.94		0	
388	1.113	1.114	1.270	279.94	58.62	322.03		0	
389	1.113	1.114	1.270	279.84	58.65	322.03		0	
390	1.113	1.114	1.270	279.98	58.56	322.03		0	
391	1.114	1.115	2.410	315.92	-55.16	317.81		0	
392	1.114	1.115	2.400	315.94	-55.26	317.81		0	
393	1.114	1.115	2.390	315.90	-55.27	317.81		0	
394	1.115	1.116	3.800	251.00	-6.58	2.81		0	
395	1.115	1.116	3.800	251.01	-6.52	2.81		0	
396	1.115	1.116	3.800	250.90	-6.60	2.81		0	
397	1.116	1.117	7.650	249.12	-36.45	316.41		0	
398	1.116	1.117	7.650	248.93	-36.54	316.41		0	
399	1.116	1.117	7.660	248.98	-36.43	316.41		0	
400	1.117	1.118	6.610	168.89	-37.46	74.53		0	
401	1.117	1.118	6.610	169.00	-37.44	74.53		0	
402	1.117	1.118	6.610	169.27	-37.30	74.53		0	
403	1.118	1.119	10.640	216.81	-33.14	355.78		0	
404	1.118	1.119	10.630	216.69	-33.17	355.78		0	
405	1.118	1.119	10.630	217.08	-33.12	355.78		0	
406	1.119	1.120	5.260	252.88	-41.23	334.69		0	
407	1.119	1.120	5.250	252.89	-41.24	336.09		0	
408	1.119	1.120	5.230	252.97	-41.26	337.50		0	
409	1.120	1.121	13.110	208.79	-35.24	337.50		0	
410	1.120	1.121	13.080	208.76	-35.29	337.50		0	
411	1.120	1.121	13.100	208.81	-35.22	336.09		0	
412	1.121	1.122	12.110	251.60	-36.58	355.78		0	
413	1.121	1.122	12.100	251.57	-36.50	355.78		0	
414	1.121	1.122	12.100	251.68	-36.58	355.78		0	
415	1.122	1.123	16.040	238.06	-34.41	345.94		0	
416	1.122	1.123	16.010	238.06	-34.58	345.94		0	
417	1.122	1.123	16.010	238.09	-34.51	345.94		0	
418	1.123	1.124	1.710	312.84	4.82	352.97		0	
419	1.123	1.124	1.710	312.89	4.84	354.38		0	
420	1.123	1.124	1.710	312.74	4.85	354.38		0	
421	1.124	1.125	4.920	258.05	-16.18	53.44		0	
422	1.124	1.125	4.930	257.98	-16.19	53.44		0	
423	1.124	1.125	4.920	257.87	-16.21	53.44		0	
424	1.125	1.126	4.940	209.33	-35.70	0.00		0	
425	1.125	1.126	4.940	209.22	-35.65	0.00		0	
426	1.125	1.126	4.940	208.94	-35.60	0.00		0	
427	1.126	1.127	4.910	238.09	-32.67	291.09		0	
428	1.126	1.127	4.910	238.21	-32.61	291.09		0	
429	1.126	1.127	4.910	238.45	-32.53	291.09		0	
430	1.127	1.128	2.490	234.35	-30.00	84.38		0	
431	1.127	1.128	2.490	234.37	-30.01	84.38		0	
432	1.127	1.128	2.490	234.21	-30.05	84.38		0	
433	1.128	1.129	6.840	277.29	-20.29	334.69		0	
434	1.128	1.129	6.810	277.01	-20.39	336.09		0	
435	1.128	1.129	6.800	277.18	-20.33	336.09		0	
436	1.129	1.130	9.620	238.89	-29.90	115.31		0	
437	1.129	1.130	9.620	238.83	-29.82	115.31		0	
438	1.129	1.130	9.610	238.89	-29.94	115.31		0	
439	1.130	1.131	10.860	245.10	-33.62	119.53		0	
440	1.130	1.131	10.860	245.24	-33.65	119.53		0	
441	1.130	1.131	10.850	245.14	-33.65	119.53		0	
442	1.131	1.132	6.710	221.80	-35.08	352.97		0	
443	1.131	1.132	6.690	221.84	-35.04	352.97		0	
444	1.131	1.132	6.710	221.95	-35.02	351.56		0	
445	1.132	1.133	3.840	244.97	-28.88	355.78		0	
446	1.132	1.133	3.840	244.97	-28.83	355.78		0	
447	1.132	1.133	3.800	245.03	-28.90	355.78		0	
448	1.133	1.134	6.820	254.14	-26.49	88.59		0	
449	1.133	1.134	6.810	254.14	-26.49	88.59		0	
450	1.133	1.134	6.810	254.04	-26.52	87.19		0	
451	1.134	1.135	5.750	179.96	-23.92	82.97		0	
452	1.134	1.135	5.750	180.03	-23.96	82.97		0	
453	1.134	1.135	5.750	180.09	-23.92	82.97		0	
454	1.135	1.136	5.080	211.61	-40.35	0.00		0	
455	1.135	1.136	5.060	211.57	-40.24	0.00		0	
456	1.135	1.136	5.070	211.61	-40.23	358.59		0	
457	1.136	1.137	5.940	211.03	-26.32	19.69		0	
458	1.136	1.137	5.930	211.01	-26.33	21.09		0	
459	1.136	1.137	5.930	211.02	-26.33	21.09		0	
460	1.137	1.138	8.160	227.66	-31.57	350.16		0	
461	1.137	1.138	8.160	227.72	-31.64	350.16		0	
462	1.137	1.138	8.160	227.98	-31.53	350.16		0	
463	1.138	1.139	10.370	234.29	-31.84	340.31		0	
464	1.138	1.139	10.370	234.40	-31.85	340.31		0	
465	1.138	1.139	10.360	234.30	-31.87	338.91		0	
466	1.139	1.140	6.590	195.74	-28.43	323.44		0	
467	1.139	1.140	6.590	195.49	-28.36	324.84		0	
468	1.139	1.140	6.590	195.80	-28.39	324.84		0	
469	1.140	1.141	30.060	224.03	-32.90	343.12		0	
470	1.140	1.141	30.060	223.96	-32.91	341.72		0	
471	1.140	1.141	30.070	224.13	-32.91	341.72		0	
472	1.141	1.142	11.060	259.95	-24.54	5.62		0	
473	1.141	1.142	11.050	259.73	-24.65	5.62		0	
474	1.141	1.142	11.050	259.89	-24.52	5.62		0	
475	1.142	1.143	18.510	253.91	-25.47	1.41		0	
476	1.142	1.143	18.510	253.81	-25.41	1.41		0	
477	1.142	1.143	18.520	253.84	-25.35	1.41		0	
478	1.143	1.144	15.840	220.48	-29.23	344.53		0	
479	1.143	1.144	15.850	220.71	-29.15	344.53		0	
480	1.143	1.144	15.830	220.53	-29.04	344.53		0	
481	1.144	1.145	13.520	278.62	-19.58	354.38		0	
482	1.144	1.145	13.530	278.66	-19.53	354.38		0	
483	1.144	1.145	13.520	278.66	-19.48	354.38		0	
484	1.145	1.146	18.550	275.89	-22.40	355.78		0	
485	1.145	1.146	18.560	275.86	-22.42	355.78		0	
486	1.145	1.146	18.560	275.89	-22.47	355.78		0	
487	1.146	1.147	8.670	278.61	-19.06	16.88		0	
488	1.146	1.147	8.660	278.62	-19.04	16.88		0	
489	1.146	1.147	8.700	278.87	-19.07	16.88		0	
490	1.147	1.148	8.430	252.19	-25.43	313.59		0	
491	1.147	1.148	8.440	252.02	-25.48	313.59		0	
492	1.147	1.148	8.440	252.25	-25.41	313.59		0	
493	1.148	1.149	9.930	266.03	-25.81	343.12		0	
494	1.148	1.149	9.930	266.11	-25.74	343.12		0	
495	1.148	1.149	9.930	265.92	-25.79	343.12		0	
496	1.149	1.150	6.310	291.15	-15.10	358.59		0	
497	1.149	1.150	6.310	291.33	-15.01	358.59		0	
498	1.149	1.150	6.320	291.18	-15.08	357.19		0	
499	1.150	1.151	7.160	236.51	-29.73	95.62		0	
500	1.150	1.151	7.170	236.71	-29.69	95.62		0	
501	1.150	1.151	7.150	236.54	-29.77	95.62		0	
502	1.151	1.152	1.980	321.08	-22.97	12.66		0	
503	1.151	1.152	1.990	321.36	-22.78	12.66		0	
504	1.151	1.152	2.000	321.20	-22.76	12.66		0	
505	1.152	1.153	2.280	257.99	-20.73	60.47		0	
506	1.152	1.153	2.280	258.10	-20.65	60.47		0	
507	1.152	1.153	2.280	258.06	-20.68	60.47		0	
508	1.153	1.154	5.900	231.52	-23.18	7.03		0	
509	1.153	1.154	5.900	231.67	-23.12	7.03		0	
510	1.153	1.154	5.890	231.56	-23.07	7.03		0	
511	1.154	1.155	8.020	226.55	-26.75	329.06		0	
512	1.154	1.155	8.020	226.53	-26.79	329.06		0	
513	1.154	1.155	8.020	226.52	-26.89	330.47		0	
514	1.155	1.156	9.340	230.32	-16.87	45.00		0	
515	1.155	1.156	9.350	230.40	-16.81	45.00		0	
516	1.155	1.156	9.340	230.45	-16.78	45.00		0	
517	1.156	1.15600	2.290	282.61	-17.36	119.53		0	
518	1.156	1.15600	2.280	282.41	-17.27	119.53		0	
519	1.156	1.15600	2.280	282.57	-17.18	119.53		0	
520	1.15600	1.157	4.480	299.45	-16.91	132.19		0	
521	1.15600	1.157	4.480	299.72	-16.64	132.19		0	
522	1.15600	1.157	4.490	299.79	-16.63	132.19		0	
523	1.157	1.158	4.110	262.97	-18.77	85.78		0	
524	1.157	1.158	4.090	262.92	-18.86	85.78		0	
525	1.157	1.158	4.090	263.24	-18.73	87.19		0	
526	1.158	1.159	4.890	252.97	-22.81	129.38		0	
527	1.158	1.159	4.900	253.03	-22.75	129.38		0	
528	1.158	1.159	4.880	253.13	-22.84	129.38		0	
529	1.159	1.160	5.190	253.90	-30.62	119.53		0	
530	1.159	1.160	5.170	253.69	-30.71	118.12		0	
531	1.159	1.160	5.160	253.57	-30.73	118.12		0	
532	1.160	1.161	6.910	249.70	-24.71	26.72		0	
533	1.160	1.161	6.900	249.79	-24.75	26.72		0	
534	1.160	1.161	6.900	249.79	-24.75	26.72		0	
535	1.161	1.162	6.500	294.86	-16.48	11.25		0	
536	1.161	1.162	6.480	295.32	-16.50	12.66		0	
537	1.161	1.162	6.480	295.20	-16.58	14.06		0	
538	1.162	1.163	7.780	273.31	-23.27	54.84		0	
539	1.162	1.163	7.770	273.18	-23.27	54.84		0	
540	1.162	1.163	7.770	273.24	-23.33	54.84		0	
541	1.163	1.164	17.380	284.20	-18.81	40.78		0	
542	1.163	1.164	17.380	284.00	-18.93	40.78		0	
543	1.163	1.164	17.420	284.62	-18.81	40.78		0	
544	1.164	1.16400	10.340	286.69	-22.40	98.44		0	
545	1.164	1.16400	10.320	286.50	-22.44	97.03		0	
546	1.164	1.16400	10.330	286.55	-22.45	97.03		0	
547	1.16400	1.165	33.550	313.30	-13.96	338.91		0	
548	1.16400	1.165	33.530	313.37	-13.98	338.91		0	
549	1.16400	1.165	33.500	313.18	-14.00	338.91		0	
550	1.165	1.166	4.930	161.13	-8.87	47.81		0	
551	1.165	1.166	4.930	160.89	-8.97	47.81		0	
552	1.165	1.166	4.910	160.55	-8.84	46.41		0	
553	1.166	1.167	1.600	296.58	-12.12	4.22		0	
554	1.166	1.167	1.600	296.66	-11.96	4.22		0	
555	1.166	1.167	1.590	296.78	-11.94	5.62		0	
556	1.167	1.168	4.420	289.84	-17.44	340.31		0	
557	1.167	1.168	4.410	289.66	-17.37	341.72		0	
558	1.167	1.168	4.410	289.73	-17.32	340.31		0	
559	1.168	1.169	7.740	298.11	-32.25	119.53		0	
560	1.168	1.169	7.730	297.98	-32.32	119.53		0	
561	1.168	1.169	7.730	297.97	-32.22	119.53		0	
562	1.169	1.170	8.450	306.19	-26.79	53.44		0	
563	1.169	1.170	8.440	306.44	-26.76	53.44		0	
564	1.169	1.170	8.450	306.44	-26.66	53.44		0	
565	1.170	1.171	10.970	283.73	-8.71	94.22		0	
566	1.170	1.171	10.980	283.97	-8.62	94.22		0	
567	1.170	1.171	10.950	283.97	-8.67	94.22		0	
568	1.171	1.172	3.350	292.41	-11.38	109.69		0	
569	1.171	1.172	3.350	292.52	-11.01	108.28		0	
570	1.171	1.172	3.350	292.30	-11.21	108.28		0	
571	1.172	1.17200	8.840	294.07	-3.52	341.72		0	
572	1.172	1.17200	8.840	294.15	-3.33	341.72		0	
573	1.172	1.17200	8.840	294.12	-3.44	341.72		0	
574	1.17200	1.173	27.120	295.91	-7.65	354.38		0	
575	1.17200	1.173	27.110	295.90	-7.72	354.38		0	
576	1.17200	1.173	27.100	295.66	-7.70	354.38		0	
577	1.173	1.174	19.990	28.94	-0.87	2.81		0	
578	1.173	1.174	19.990	29.03	-0.87	2.81		0	
579	1.173	1.174	19.990	28.99	-0.85	2.81		0	
580	1.174	1.175	32.690	4.70	-0.39	1.41		0	
581	1.174	1.175	32.680	4.76	-0.37	1.41		0	
582	1.174	1.175	32.660	4.81	-0.31	1.41		0	
583	1.175	1.176	5.320	50.05	-15.97	282.66		0	
584	1.175	1.176	5.350	50.05	-15.87	282.66		0	
585	1.175	1.176	5.350	50.09	-15.91	282.66		0	
586	1.176	1.177	10.400	6.81	-6.20	324.84		0	
587	1.176	1.177	10.410	6.77	-6.14	324.84		0	
588	1.176	1.177	10.400	6.76	-6.16	324.84		0	
589	1.177	1.17700	27.660	39.15	3.91	16.88		0	
590	1.177	1.17700	27.670	39.40	3.66	18.28		0	
591	1.177	1.17700	27.670	39.34	3.70	18.28		0	
592	1.17700	1.17701	2.670	333.08	-0.83	104.06		0	
593	1.17700	1.17701	2.670	333.08	-0.88	104.06		0	
594	1.17700	1.17701	2.670	333.18	-0.84	102.66		0	
595	1.17701	1.178	16.750	344.23	-8.99	296.72		0	
596	1.17701	1.178	16.750	344.47	-9.00	296.72		0	
597	1.17701	1.178	16.720	344.43	-8.97	296.72		0	
598	1.178	1.17800	9.730	2.36	6.50	348.75		0	
599	1.178	1.17800	9.730	2.41	6.49	348.75		0	
600	1.178	1.17800	9.730	2.30	6.50	348.75		0	
601	1.17800	1.179	22.140	336.57	-4.40	32.34		0	
602	1.17800	1.179	22.150	336.49	-4.40	30.94		0	
603	1.17800	1.179	22.140	336.57	-4.50	30.94		0	
604	1.179	1.180	7.550	335.09	6.47	343.12		0	
605	1.179	1.180	7.560	335.14	6.44	343.12		0	
606	1.179	1.180	7.550	335.35	6.43	343.12		0	
607	1.180	1.18000	16.070	1.73	-6.43	313.59		0	
608	1.180	1.18000	16.070	1.77	-6.40	313.59		0	
609	1.180	1.18000	16.070	1.84	-6.54	313.59		0	
610	1.18000	1.181	14.290	5.29	7.98	7.03		0	
611	1.18000	1.181	14.330	5.36	7.93	7.03		0	
612	1.18000	1.181	14.330	5.53	7.99	7.03		0	
613	1.181	1.18100	25.220	1.21	-7.27	106.88		0	
614	1.181	1.18100	25.220	1.54	-7.44	106.88		0	
615	1.181	1.18100	25.220	0.85	-7.37	120.94		0	
616	1.18100	1.182	12.980	14.19	-0.85	4.22		0	
617	1.18100	1.182	12.970	14.13	-0.88	4.22		0	
618	1.18100	1.182	12.980	14.13	-0.85	4.22		0	
619	1.182	1.183	36.880	20.03	-0.80	8.44		0	
620	1.182	1.183	36.890	20.00	-0.99	8.44		0	
621	1.182	1.183	36.870	19.95	-0.91	8.44		0	
622	1.183	1.184	13.510	45.84	3.91	279.84		0	
623	1.183	1.184	13.500	45.98	3.81	279.84		0	
624	1.183	1.184	13.500	45.87	3.91	279.84		0	
625	1.184	1.185	8.470	327.24	-20.33	77.34		0	
626	1.184	1.185	8.500	327.37	-20.24	77.34		0	
627	1.184	1.185	8.500	327.13	-20.34	77.34		0	
628	1.185	1.186	17.010	7.09	3.39	5.62		0	
629	1.185	1.186	17.000	7.20	3.37	5.62		0	
630	1.185	1.186	16.990	7.08	3.44	5.62		0	
631	1.186	1.187	44.220	19.15	-2.13	289.69		0	
632	1.186	1.187	44.210	19.06	-2.02	289.69		0	
633	1.186	1.187	44.220	19.17	-2.19	289.69		0	
634	1.187	1.188	6.470	285.50	-1.50	164.53		0	
635	1.187	1.188	6.470	285.42	-1.47	164.53		0	
636	1.187	1.188	6.470	285.53	-1.36	164.53		0	
637	1.188	1.189	13.240	28.22	-8.14	270.00		0	
638	1.188	1.189	13.250	28.25	-8.09	268.59		0	
639	1.188	1.189	13.280	28.15	-8.14	268.59		0	
640	1.189	1.190	25.760	15.54	1.50	7.03		0	
641	1.189	1.190	25.770	15.49	1.50	7.03		0	
642	1.189	1.190	25.770	15.74	1.57	5.62		0	
643	1.190	1.191	21.830	354.49	-4.45	68.91		0	
644	1.190	1.191	21.820	354.30	-4.48	68.91		0	
645	1.190	1.191	21.820	354.35	-4.51	68.91		0	
646	1.191	1.19100	11.870	48.93	1.74	354.38		0	
647	1.191	1.19100	11.870	48.75	1.58	354.38		0	
648	1.191	1.19100	11.870	48.76	1.58	354.38		0	
649	1.19100	1.192	17.240	2.18	-1.17	46.41		0	
650	1.19100	1.192	17.250	2.13	-1.27	46.41		0	
651	1.19100	1.192	17.260	2.35	-1.25	46.41		0	
652	1.192	1.193	16.230	20.84	2.06	322.03		0	
653	1.192	1.193	16.220	20.96	2.06	322.03		0	
654	1.192	1.193	16.230	20.85	2.07	320.62		0	
655	1.193	1.194	21.150	8.39	-1.12	2.81		0	
656	1.193	1.194	21.200	8.34	-1.12	1.41		0	
657	1.193	1.194	21.160	8.38	-1.05	1.41		0	
658	1.194	1.195	15.790	14.17	-1.51	0.00		0	
659	1.194	1.195	15.810	14.13	-1.47	358.59		0	
660	1.194	1.195	15.800	14.17	-1.46	358.59		0	
661	1.195	1.196	11.530	326.99	-11.44	97.03		0	
662	1.195	1.196	11.530	327.26	-11.43	97.03		0	
663	1.195	1.196	11.540	327.16	-11.43	98.44		0	
664	1.196	1.197	12.670	12.57	6.36	340.31		0	
665	1.196	1.197	12.670	12.56	6.38	340.31		0	
666	1.196	1.197	12.670	12.72	6.41	340.31		0	
667	1.197	1.19700	11.010	332.28	-11.38	189.84		0	
668	1.197	1.19700	11.030	332.18	-11.35	189.84		0	
669	1.197	1.19700	11.030	332.17	-11.32	189.84		0	
670	1.19700	1.198	21.840	341.30	-0.91	357.19		0	
671	1.19700	1.198	21.840	341.30	-0.94	357.19		0	
672	1.19700	1.198	21.840	341.24	-0.85	357.19		0	
673	1.198	1.19800	23.770	347.46	-3.36	19.69		0	
674	1.198	1.19800	23.750	347.49	-3.41	19.69		0	
675	1.198	1.19800	23.760	347.56	-3.35	18.28		0	
676	1.19800	1.199	17.460	343.62	-2.28	352.97		0	
677	1.19800	1.199	17.460	343.64	-2.22	352.97		0	
678	1.19800	1.199	17.460	343.58	-2.28	352.97		0	
679	1.199	1.200	48.370	4.09	9.51	5.62		0	
680	1.199	1.200	48.350	4.28	9.40	5.62		0	
681	1.199	1.200	48.350	4.28	9.38	5.62		0	
682	1.200	1.201	0.560	89.43	27.48	56.25		0	
683	1.200	1.201	0.550	88.73	27.88	54.84		0	
684	1.200	1.201	0.550	88.28	28.39	54.84		0	
685	1.201	1.202	13.020	94.75	23.58	115.31		0	
686	1.201	1.202	13.010	94.84	23.57	115.31		0	
687	1.201	1.202	13.010	94.70	23.54	116.72		0	
688	1.202	1.20200	7.580	120.23	25.90	348.75		0	
689	1.202	1.20200	7.570	120.57	25.87	348.75		0	
690	1.202	1.20200	7.590	120.43	25.88	348.75		0	
691	1.20200	1.203	4.310	90.94	36.27	95.62		0	
692	1.20200	1.203	4.310	91.07	36.21	95.62		0	
693	1.20200	1.203	4.300	90.98	36.18	95.62		0	
694	1.203	1.204	11.840	111.29	22.29	105.47		0	
695	1.203	1.204	11.830	111.12	22.33	105.47		0	
696	1.203	1.204	11.830	111.13	22.34	105.47		0	
697	1.204	1.205	6.440	132.07	22.96	345.94		0	
698	1.204	1.205	6.440	132.11	22.97	345.94		0	
699	1.204	1.205	6.450	131.97	23.02	345.94		0	
700	1.205	1.206	5.330	19.09	14.92	1.41		0	
701	1.205	1.206	5.320	19.14	14.98	0.00		0	
702	1.205	1.206	5.320	19.23	15.08	0.00		0	
703	1.206	1.207	12.480	352.12	23.41	18.28		0	
704	1.206	1.207	12.470	352.34	23.45	18.28		0	
705	1.206	1.207	12.480	352.28	23.46	18.28		0	
706	1.207	1.208	15.820	356.33	26.32	61.88		0	
707	1.207	1.208	15.840	356.33	26.25	61.88		0	
708	1.207	1.208	15.830	356.42	26.21	61.88		0	
709	1.208	1.20800	20.790	22.81	29.33	317.81		0	
710	1.208	1.20800	20.790	23.01	29.34	317.81		0	
711	1.208	1.20800	20.790	22.94	29.35	317.81		0	
712	1.20800	1.209	6.750	317.35	-10.03	196.88		0	
713	1.20800	1.209	6.750	317.38	-9.99	196.88		0	
714	1.20800	1.209	6.750	317.20	-9.96	196.88		0	
715	1.209	1.210	6.250	41.73	26.64	2.81		0	
716	1.209	1.210	6.230	41.76	26.58	2.81		0	
717	1.209	1.210	6.230	41.67	26.55	2.81		0	
718	1.210	1.211	11.100	5.96	19.12	15.47		0	
719	1.210	1.211	11.120	5.98	19.06	15.47		0	
720	1.210	1.211	11.150	5.86	19.06	15.47		0	
721	1.211	1.212	18.180	355.36	15.53	47.81		0	
722	1.211	1.212	18.180	355.20	15.49	47.81		0	
723	1.211	1.212	18.180	355.55	15.57	47.81		0	
724	1.212	1.21200	12.610	22.02	26.76	291.09		0	
725	1.212	1.21200	12.610	21.79	26.79	291.09		0	
726	1.212	1.21200	12.600	21.78	26.79	291.09		0	
727	1.21200	1.213	13.530	27.49	41.09	336.09		0	
728	1.21200	1.213	13.560	27.33	41.28	336.09		0	
729	1.21200	1.213	13.580	27.21	41.28	337.50		0	
730	1.213	1.214	13.040	69.60	36.70	126.56		0	
731	1.213	1.214	13.020	69.55	36.73	126.56		0	
732	1.213	1.214	13.050	69.61	36.72	126.56		0	
733	1.214	1.215	8.260	124.54	25.54	99.84		0	
734	1.214	1.215	8.270	124.52	25.53	99.84		0	
735	1.214	1.215	8.270	124.60	25.55	99.84		0	
736	1.215	1.216	8.220	19.61	20.51	156.09		0	
737	1.215	1.216	8.220	19.73	20.52	156.09		0	
738	1.215	1.216	8.230	19.65	20.59	156.09		0	
739	1.216	1.21600	6.820	56.48	38.69	4.22		0	
740	1.216	1.21600	6.820	56.32	38.83	4.22		0	
741	1.216	1.21600	6.830	56.41	38.74	4.22		0	
742	1.21600	1.217	18.720	51.27	30.58	333.28		0	
743	1.21600	1.217	18.710	51.40	30.49	333.28		0	
744	1.21600	1.217	18.710	51.44	30.51	333.28		0	
745	1.217	1.218	20.880	51.11	5.76	358.59		0	
746	1.217	1.218	20.880	51.22	5.70	357.19		0	
747	1.217	1.218	20.880	51.29	5.78	357.19		0	
748	1.218	1.219	10.540	35.43	16.99	8.44		0	
749	1.218	1.219	10.550	35.32	16.87	8.44		0	
750	1.218	1.219	10.520	35.33	16.81	8.44		0	
751	1.219	1.220	15.620	181.57	13.47	282.66		0	
752	1.219	1.220	15.660	181.54	13.57	284.06		0	
753	1.219	1.220	15.640	181.71	13.56	284.06		0	
754	1.220	1.221	12.680	96.25	20.63	232.03		0	otwor Zimnej, strop nad otworem, okolo polowy szerokosci
755	1.220	1.221	12.640	96.32	20.77	232.03		0	
756	1.220	1.221	12.750	96.43	20.86	232.03		0	
