Zrzut pomiarów z pliku PocketTopo .top
========================================
Plik: Czarna-zimna.top
Data tripu: 2011-10-02 00:00:00
Liczba tripów: 1
Liczba strzałów: 756
Liczba referencji: 0
Deklinacja: 0.00°
Komentarz tripu: (brak)

Komentarze do strzałów:
- #83: 1.22 -> (bez stacji docelowej) | syfon
- #143: 1.38 -> (bez stacji docelowej) | do brzegu jeziorka
- #144: 1.38 -> 1.39 | brzeg kamienia
- #195: 1.55 -> 1.56 | do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
- #233: 1.67 -> 1.68 | do czubka stalagmita
- #319: 1.91 -> 1.92 | do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
- #754: 1.220 -> 1.221 | otwor Zimnej, strop nad otworem, okolo polowy szerokosci

Pełna lista strzałów:
lp	from	to	dist[m]	az[°]	inc[°]	roll[°]	flip	trip	komentarz
92	1.24	1.25	9.780	184.41	9.94	94.22		0	
93	1.24	1.25	9.780	184.19	9.89	94.22		0	
94	1.24	1.25	9.770	184.31	9.98	94.22		0	
95	1.25	1.26	10.590	222.68	-3.25	313.59		0	
96	1.25	1.26	10.570	222.34	-3.20	312.19		0	
97	1.25	1.26	10.570	222.23	-3.15	312.19		0	
98	1.26	1.27	1.960	214.01	-9.87	35.16		0	
99	1.26	1.27	1.960	214.25	-9.67	35.16		0	
100	1.26	1.27	1.960	214.09	-9.57	35.16		0	
101	1.27	(brak)	11.290	121.96	35.86	82.97		0	
102	1.27	(brak)	0.970	214.37	76.70	4.22		0	
103	1.27	(brak)	8.090	187.38	7.18	1.41		0	
104	1.27	1.28	3.620	260.05	-32.06	350.16		0	
105	1.27	1.28	3.630	259.87	-32.03	348.75		0	
106	1.27	1.28	3.630	259.68	-32.01	348.75		0	
107	1.28	1.29	3.370	255.94	-36.18	39.38		0	
108	1.28	1.29	3.370	255.82	-36.05	39.38		0	
109	1.28	1.29	3.360	255.99	-36.08	40.78		0	
110	1.29	1.30	3.530	246.52	-41.62	315.00		0	
111	1.29	1.30	3.530	246.49	-41.61	315.00		0	
112	1.29	1.30	3.530	246.78	-41.61	315.00		0	
113	1.30	1.31	5.070	309.72	-46.13	344.53		0	
114	1.30	1.31	5.080	309.71	-46.24	344.53		0	
115	1.30	1.31	5.080	309.46	-46.29	345.94		0	
116	1.31	1.32	3.540	209.62	-30.77	81.56		0	
117	1.31	1.32	3.540	209.39	-30.80	82.97		0	
118	1.31	1.32	3.540	209.35	-30.80	81.56		0	
119	1.32	(brak)	8.430	174.61	32.02	350.16		0	
120	1.32	(brak)	1.920	237.37	-22.65	331.88		0	
121	1.32	(brak)	0.860	166.49	-60.21	28.12		0	
122	1.32	1.33	6.170	307.26	-37.25	184.22		0	
123	1.32	1.33	6.170	307.27	-37.24	184.22		0	
124	1.32	1.33	6.170	307.28	-37.19	184.22		0	
125	1.33	1.34	11.770	245.36	0.38	37.97		0	
126	1.33	1.34	11.770	245.41	0.37	39.38		0	
127	1.33	1.34	11.770	245.32	0.44	39.38		0	
128	1.34	(brak)	3.790	23.29	-10.34	33.75		0	
129	1.34	(brak)	3.540	250.94	6.38	12.66		0	
130	1.34	(brak)	1.260	345.82	57.28	345.94		0	
131	1.34	1.35	18.510	319.05	-34.73	11.25		0	
132	1.34	1.35	18.510	319.26	-34.70	12.66		0	
133	1.34	1.35	18.510	319.16	-34.71	12.66		0	
134	1.35	1.36	8.230	300.78	-20.21	26.72		0	
135	1.35	1.36	8.230	300.78	-20.20	26.72		0	
136	1.35	1.36	8.230	300.75	-20.12	26.72		0	
137	1.36	1.37	10.790	210.88	22.34	16.88		0	
138	1.36	1.37	10.790	210.92	22.33	16.88		0	
139	1.36	1.37	10.800	211.02	22.38	16.88		0	
140	1.37	(brak)	5.470	2.58	-34.55	347.34		0	
141	1.37	(brak)	2.180	350.49	41.49	2.81		0	
142	1.37	(brak)	3.360	189.18	56.72	125.16		0	
143	1.38	(brak)	2.580	14.42	-14.34	28.12		0	do brzegu jeziorka
144	1.38	1.39	1.350	172.92	21.46	303.75		0	brzeg kamienia
145	1.38	1.39	1.350	172.82	21.43	303.75		0	
146	1.38	1.39	1.350	172.79	21.57	305.16		0	
147	1.39	1.40	1.000	157.33	8.28	142.03		0	
148	1.39	1.40	0.990	157.14	7.94	142.03		0	
149	1.39	1.40	1.000	157.15	8.04	142.03		0	
150	1.40	1.41	0.400	183.85	17.11	296.72		0	
151	1.40	1.41	0.400	183.96	17.11	296.72		0	
152	1.40	1.41	0.400	183.86	17.05	296.72		0	
153	1.41	1.42	5.590	165.94	43.69	99.84		0	
154	1.41	1.42	5.600	166.00	43.81	99.84		0	
155	1.41	1.42	5.600	166.05	43.75	99.84		0	
156	1.42	1.43	0.570	64.24	-2.28	194.06		0	
157	1.42	1.43	0.570	64.54	-2.14	194.06		0	
158	1.42	1.43	0.570	65.09	-2.02	194.06		0	
159	1.43	1.44	3.550	177.07	36.75	296.72		0	
160	1.43	1.44	3.550	176.93	36.96	296.72		0	
161	1.43	1.44	3.550	176.71	36.83	296.72		0	
162	1.44	1.45	2.560	254.65	-1.60	109.69		0	
163	1.44	1.45	2.560	254.59	-1.63	109.69		0	
164	1.44	1.45	2.570	254.58	-1.66	109.69		0	
165	1.45	1.46	1.400	231.44	11.83	233.44		0	
166	1.45	1.46	1.400	231.74	11.91	233.44		0	
167	1.45	1.46	1.380	231.99	11.78	233.44		0	
168	1.46	1.47	3.910	178.07	39.20	40.78		0	
169	1.46	1.47	3.910	178.27	39.11	42.19		0	
170	1.46	1.47	3.910	178.06	39.11	42.19		0	
171	1.47	1.48	7.270	164.99	41.40	19.69		0	
172	1.47	1.48	7.290	165.13	41.61	18.28		0	
173	1.47	1.48	7.280	165.31	41.67	18.28		0	
174	1.48	1.49	1.680	107.92	39.26	149.06		0	
175	1.48	1.49	1.670	108.23	38.84	150.47		0	
176	1.48	1.49	1.670	108.11	38.97	149.06		0	
177	1.49	1.50	1.780	189.22	20.00	271.41		0	
178	1.49	1.50	1.740	189.12	20.10	270.00		0	
179	1.49	1.50	1.730	189.16	20.23	270.00		0	
180	1.50	1.51	6.900	171.46	34.69	156.09		0	
181	1.50	1.51	6.910	171.45	34.59	157.50		0	
182	1.50	1.51	6.910	171.13	34.74	157.50		0	
