Gorickovaim   (m, 360)

[1]: 2012/01/12     0.00  


     1.0                   3.658  166.94   -1.61  [1]    
     1.0                   3.546  249.59   -7.29  [1]    
     1.0                   1.084  116.24   -2.98  [1]    
     1.0                   1.478  137.73   35.89  [1]    
     1.0                   1.955  128.98  -44.23  [1]    
     1.0                   3.628   31.09   15.41  [1]    
     1.0                   1.218  287.37   62.53  [1]    
     1.0                   3.103  348.43   16.78  [1]    
     1.0                   7.862  211.98    2.35  [1]    
     1.0                   7.882  211.73    2.02  [1]    
     1.0                   2.975  189.82  -55.94  [1]    
     1.0                   4.697  215.54  -12.07  [1]    
     1.0                   2.766  240.32   87.97  [1]    
     1.0                   2.054  276.99  -27.21  [1]    
     1.0                   3.150  205.36  -17.48  [1]    
     1.0                   3.149  205.22  -17.76  [1]    
     1.0                   1.455  271.43   85.45  [1]    
     1.0                   1.302  198.21    3.17  [1]    
     1.0         1.1       4.463  329.22    1.41  [1]    
     1.0         1.1       4.452  329.77    1.63  [1]    
     1.0         1.1       4.446  329.40    1.65  [1]    
     1.1                   0.551   57.13  -89.07  [1]    
     1.1                   0.933  178.32   10.82  [1]    
     1.1                   1.460  203.34    7.20  [1]    
     1.1                   1.395  181.38   10.54  [1]    
     1.1         1.2       4.304  169.15   -0.69  [1]    
     1.1         1.2       4.294  169.34   -0.59  [1]    
     1.1         1.2       4.292  169.01   -0.80  [1]    
     1.2         1.3       4.306  169.39   -0.35  [1]    
     1.2         1.3       4.303  169.23   -0.74  [1]    
     1.2         1.3       4.299  169.46   -0.51  [1]    
     1.3                   2.187  100.60    2.41  [1]    
     1.3                   4.720   29.54    3.17  [1]    
     1.3                   5.201   28.05    4.42  [1]    
     1.3                   2.628  226.66   89.21  [1]    
     1.3                   3.401  256.99   29.89  [1]    
     1.3                   1.096  190.06    9.15  [1]    
     1.3                   1.986  204.58   81.51  [1]    
     1.3                   5.381  330.95   -8.32  [1]    
     1.3                   3.656  337.84   -9.03  [1]    
     1.3                   3.178  275.26   13.40  [1]    
     1.3                   2.015  344.67  -16.57  [1]    
     1.3                   4.435  107.43   -0.31  [1]    
     1.3                   1.828  138.99   31.33  [1]    
     1.3                   2.505    7.25   46.58  [1]    
     1.3                   0.770   80.72   -0.88  [1]    
     1.3                   0.595  349.24  -81.60  [1]    
     1.3                   2.162    1.25   17.94  [1]    
     1.3                   1.806  245.99   17.55  [1]    
     1.3                   1.723  200.51   23.68  [1]    
     1.3                   0.964  345.03   16.66  [1]    
     1.3                   1.459   72.64   -2.08  [1]    
     1.3                   2.732  317.74   -2.47  [1]    
     1.3                   2.581   13.34  -18.45  [1]    
     1.3                   3.008  185.29   38.95  [1]    
     1.3                   2.242  179.40   -2.72  [1]    
     1.3                   0.816   33.85    6.04  [1]    
     1.3                   1.407   93.87   10.88  [1]    
     1.3                  23.902   92.70   11.91  [1]    
     1.3                   1.407   92.81   11.79  [1]    
     1.3                   2.124  139.72   17.66  [1]    
     1.3                   3.041   92.21  -18.67  [1]    
     1.3                   2.298  202.40   -0.69  [1]    
     1.3                   2.367  202.45   -0.49  [1]    
     1.3                   1.099  102.08    5.78  [1]    
     1.3                   1.343   56.54   75.58  [1]    
     1.3                   0.768  190.05  -73.57  [1]    
     1.3                   1.794  144.57   37.99  [1]    
     1.3                   1.308  279.15    3.44  [1]    
     1.3                   1.286  244.90   -1.40  [1]    
     1.3                   3.460  187.41   29.46  [1]    
     1.3                   3.182   50.58  -36.18  [1]    
     1.3                   1.861   32.13  -23.33  [1]    
     1.3                   1.308  113.34   -6.16  [1]    
     1.3                   1.039   24.96   62.25  [1]    
     1.3                   0.777  241.05    5.06  [1]    
     1.3                   3.004  298.49  -13.06  [1]    
     1.3                   0.657   66.24   -7.54  [1]    
     1.3                   2.143  204.75  -14.04  [1]    
     1.3                   3.336  251.53  -12.00  [1]    
     1.3                   0.601  316.31    6.44  [1]    
     1.3                   3.044   40.56  -12.77  [1]    
     1.3                   0.645  279.88    3.11  [1]    
     1.3                   0.981  183.67    7.41  [1]    
     1.3                   0.762  162.95   82.62  [1]    
     1.3                   0.397  225.41  -85.19  [1]    
     1.3                   2.864   32.98   60.94  [1]    
     1.3                   4.301  122.95  -12.24  [1]    
     1.3                   2.954  346.20   82.70  [1]    
     1.3                   1.436  325.64   76.98  [1]    
     1.3                   1.128   25.70   -2.73  [1]    
     1.3                   1.462    8.56   -3.46  [1]    
     1.3                   0.937  261.38   63.56  [1]    
     1.3                   2.118  137.63   18.32  [1]    
     1.3                   2.110  136.94   17.88  [1]    
     1.3                   2.428   92.52   -8.33  [1]    
     1.3                   2.464   92.21   -8.22  [1]    
