FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,2.9,78.0,-22.0
1,2,3.0,17.0,-17.0
2,3,3.1,22.0,27.0
3,4,1.8,35.0,-25.0
4,5,2.85,70.0,-38.0
5,6,3.0,152.0,-50.0
1,1.1,2.5,110.0,-25.0
