FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,2.34,65.0,82.0
1,2,5.54,62.0,39.0
2,3,3.6,60.0,13.0
3,4,1.8,40.0,20.0
1,1.1,4.28,0.0,90.0
1.1,1.2,7.61,62.0,32.0
