FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,3.0,223.0,10.0
1,2,2.75,235.0,18.0
2,3,4.2,280.0,30.0
3,4,3.45,246.0,-8.0
4,5,4.2,218.0,-22.0
5,6,3.55,273.0,-12.0
6,7,8.8,254.0,-18.0
3,3.1,4.0,283.0,40.0
5,5.1,4.0,15.0,0.0
