FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,1.3,0.0,-90.0
1,2,2.35,117.0,0.0
2,3,4.3,37.0,-4.0
3,4,1.15,175.0,0.0
4,5,2.7,102.0,-12.0
5,6,2.2,340.0,-25.0
2,2.1,2.35,0.0,-90.0
2.1,2.2,2.0,63.0,-15.0
2.2,2.3,3.1,103.0,36.0
2.3,5,2.05,39.0,7.0
