Gorickova   (m, 360)

[1]: 2012/01/12     0.00  


     1.2                   4.263  184.67   23.56  [1]    
     1.2                   4.020  234.96   36.04  [1]    
     1.2                   4.005  231.34   34.90  [1]    
     1.2                   4.053  231.00   35.43  [1]    
     1.2                   1.958  115.15   18.40  [1]    
     1.2                   4.528   93.81  -12.43  [1]    
     1.2                   2.016   93.97    1.38  [1]    
     1.2                   4.951   96.69  -17.76  [1]    
     1.2                   4.053  203.63   23.93  [1]    
     1.2                   2.950  253.92   11.40  [1]    
     1.2                   2.256  206.55  -71.39  [1]    
     1.2                   2.233  206.52  -71.22  [1]    
     1.2                   4.158  189.67   22.76  [1]    
     1.2                   4.690  279.51  -44.57  [1]    
     1.2                   2.993   45.84   48.88  [1]    
     1.2                   2.319  242.11  -46.36  [1]    
     1.2                   2.121  169.10   65.32  [1]    
     1.2                  10.957   78.09   59.83  [1]    
     1.2                  10.982   78.62   59.55  [1]    
     1.2                   3.047  190.76   -1.82  [1]    
     1.2                   2.230   15.81  -18.29  [1]    
     1.2                   1.999   71.63  -37.25  [1]    
     1.2                   1.185  333.37   -3.50  [1]    
     1.2                   3.024  133.65  -32.94  [1]    
     1.2                   2.563  269.05   32.81  [1]    
     1.2                   3.054  135.09  -14.01  [1]    
     1.2                   0.777  220.95    8.93  [1]    
     1.2                   1.429   89.60  -34.04  [1]    
     1.2                   3.139  209.61    9.89  [1]    
     1.2                   0.928  312.03   -4.14  [1]    
     1.2                   1.305  226.19  -84.77  [1]    
     1.2                   0.931  312.61   -4.62  [1]    
     1.2                   1.291  202.00  -80.50  [1]    
     1.2                   2.447  109.76  -28.89  [1]    
     1.2                   0.768  197.73    5.86  [1]    
     1.2                   4.813  114.70  -29.94  [1]    
     1.2                   3.353  134.19   15.32  [1]    
     1.2                   1.401  182.03   32.42  [1]    
     1.2                   1.497  182.38   33.26  [1]    
     1.2                   2.128  280.49   20.79  [1]    
     1.2                   1.547  178.60    9.50  [1]    
     1.2                   1.640   58.86   24.92  [1]    
     1.2                   5.321  226.49   36.24  [1]    
     1.2                   5.760  224.48   38.34  [1]    
     1.2                   1.594  107.20  -11.44  [1]    
     1.2                   2.266   39.85   -6.60  [1]    
     1.2                   1.988   79.39   19.17  [1]    
     1.2                   1.089  162.30    6.31  [1]    
     1.2                   6.005   60.95  -20.59  [1]    
     1.2                   2.944   87.54   -7.21  [1]    
     1.2                   3.011   88.20   -6.52  [1]    
     1.2                   2.540   18.98  -40.60  [1]    
     1.2                   2.982   23.98    2.79  [1]    
     1.2                   4.188   37.55   -3.02  [1]    
     1.2                   3.871   44.70   -6.32  [1]    
     1.2                   3.583  127.90   34.48  [1]    
     1.2                   2.547  182.47   79.27  [1]    
     1.2                   7.195   15.36  -32.91  [1]    
     1.2                   2.884   14.73  -32.63  [1]    
     1.2                   2.689  207.83   29.84  [1]    
     1.2                   2.790  150.87   16.27  [1]    
     1.2                   4.020  346.20  -79.38  [1]    
     1.2                   3.286  311.80   -0.39  [1]    
     1.2                   3.252  312.67   -0.66  [1]    
     1.2                   2.339   92.41   -2.11  [1]    
     1.2                   2.660   89.20  -16.91  [1]    
