FROM,TO,DISTANCE,AZIMUTH,INCLINATION
0,1,2.5,58.0,35.0
1,2,7.0,78.0,0.0
2,3,2.0,192.0,10.0
3,4,4.6,54.0,65.0
2,2.1,1.0,78.0,0.0
